,SITE,SOIL,TIME,HOST,TISSUE,TEMP,MEDIA,season,IR,richness.art1Arid
MSHM577,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM580,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM581,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM582,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM583,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,3,1
MSHM584,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM585,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,2,1
MSHM587,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,4,1
MSHM589,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,1,1
MSHM592,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM593,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM595,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,2,1
MSHM597,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,1,1
MSHM598,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,2,1
MSHM599,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,1,1
MSHM600,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,2,1
MSHM601,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,2,1
MSHM605,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,1,1
MSHM611,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM617,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM618,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM619,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM622,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,3,1
MSHM624,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,2,1
MSHM625,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM626,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM627,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM628,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM629,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM630,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM631,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM632,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM633,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM634,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
MSHM635,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
MSHM636,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
MSHM637,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,1,1
MSHM638,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,2,1
MSHM639,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,2,1
MSHM640,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,1,1
MSHM641,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,1,1
MSHM642,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,1,1
MSHM643,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,2,1
MSHM644,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,2,1
MSHM645,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,3,1
MSHM646,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,1,1
MSHM647,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,2,1
MSHM648,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,1,1
MSHM654,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,1,1
MSHM657,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM660,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM661,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM664,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM665,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM668,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM672,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,2,1
MSHM673,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM674,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM675,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM676,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM677,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM678,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM679,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM680,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,2,1
MSHM681,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,3,1
MSHM682,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
MSHM683,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
MSHM684,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,2,1
MSHM685,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,2,1
MSHM686,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,1,1
MSHM687,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,3,1
MSHM689,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM690,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,1,1
MSHM691,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,3,1
MSHM693,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,1,1
MSHM694,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,2,1
MSHM695,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,2,1
MSHM696,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,3,1
MSHM698,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,2,1
MSHM700,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,2,1
MSHM702,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,1,1
MSHM704,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM707,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,2,1
MSHM708,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM709,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,2,1
MSHM712,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM713,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,2,1
MSHM716,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM717,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM719,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM721,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM722,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM723,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM724,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM725,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM726,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM727,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,3,1
MSHM728,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,2,1
MSHM729,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM730,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
MSHM731,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,2,1
MSHM733,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,2,1
MSHM734,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,2,1
MSHM735,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,1,1
MSHM736,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM737,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM738,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,3,1
MSHM740,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,2,1
MSHM741,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,2,1
MSHM742,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,1,1
MSHM743,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,4,1
MSHM744,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,1,1
MSHM753,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM756,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM765,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,2,1
MSHM766,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,2,1
MSHM767,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,3,1
MSHM768,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM769,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM770,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM771,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM772,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM775,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,3,1
MSHM776,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM777,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,2,1
MSHM778,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,3,1
MSHM779,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,2,1
MSHM780,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,3,1
MSHM781,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,2,1
MSHM782,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,1,1
MSHM783,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,2,1
MSHM784,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,1,1
MSHM785,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,1,1
MSHM786,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM787,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,4,1
MSHM788,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,1,1
MSHM789,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,1,1
MSHM790,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,1,1
MSHM791,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,3,1
MSHM793,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,1,1
MSHM795,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,2,1
MSHM797,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,2,1
MSHM798,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,4,1
MSHM802,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM805,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM808,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,2,1
MSHM809,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM810,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM811,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,3,1
MSHM814,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM815,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM816,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,3,1
MSHM817,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM818,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM819,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM820,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM821,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,3,1
MSHM822,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM823,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM824,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,2,1
MSHM825,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM826,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,3,1
MSHM827,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
MSHM828,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
MSHM829,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,1,1
MSHM830,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,1,1
MSHM831,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,2,1
MSHM832,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM833,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,1,1
MSHM834,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,3,1
MSHM835,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,2,1
MSHM836,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,1,1
MSHM837,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,1,1
MSHM838,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,2,1
MSHM839,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,4,1
MSHM840,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,1,1
MSHM841,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,2,1
MSHM845,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,1,1
MSHM846,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,1,1
MSHM849,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM852,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM853,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM859,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM864,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,3,1
MSHM2041,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,3,1
MSHM2042,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2044,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2045,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2048,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2049,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2051,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,3,1
MSHM2054,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2058,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2062,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,2,1
MSHM2063,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,2,1
MSHM2064,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,1,1
MSHM2091,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2094,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,2,1
MSHM2097,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2100,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2101,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2103,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,2,1
MSHM2105,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2106,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,2,1
MSHM2107,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,1,1
MSHM2108,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,1,1
MSHM2109,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,3,1
MSHM2110,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,2,1
MSHM2111,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,1,1
MSHM2112,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,3,1
MSHM2140,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,2,1
MSHM2141,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2142,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2144,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2145,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2146,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,2,1
MSHM2150,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2153,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2154,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2155,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,2,1
MSHM2156,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,1,1
MSHM2159,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,1,1
MSHM2160,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,3,1
MSHM2185,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,4,1
MSHM2186,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2188,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2190,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,2,1
MSHM2192,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,2,1
MSHM2193,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,2,1
MSHM2195,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2196,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,2,1
MSHM2198,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2200,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2202,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,3,1
MSHM2203,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,1,1
MSHM2207,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,1,1
MSHM2208,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA+Plant extract,Summer,4,1
MSHM2234,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2238,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA,Summer,1,1
MSHM2239,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2240,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,1,1
MSHM2242,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,3,1
MSHM2243,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,30,PDA,Summer,4,1
MSHM2245,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
MSHM2247,Maranjab Desert,Arid soil,Summer,Artemisia sieberi,Root,23,PDA+Plant extract,Summer,1,1
